datasetID,name,description,mediaURL,latitude,longitude
"Public Memorials & Sculptures","Boy and Urn","Fountain - Arts & History",,-37.8121218036023,144.979703233987
"Public Memorials & Sculptures","Birrarung Wilam [Common Ground]","Sculpture - Arts & History",,-37.8185957247729,144.971821698135
"Public Memorials & Sculptures","Another View Site 1","Sculpture - Arts & History",,-37.8112943375038,144.973169010105
"Public Memorials & Sculptures","Weathervanes","Sculpture - Arts & History",,-37.8135370446354,144.965640931082
"Public Memorials & Sculptures","Duke & Duchess of York Memorial [also known as Temperence]","Memorial Drinking Fountain - Arts & History",,-37.8066292170365,144.959908875141
"Public Memorials & Sculptures","Reed Vessel","Sculpture - Arts & History",,-37.8202323296824,144.946325095017
"Public Memorials & Sculptures","Exhibition Fountain","Fountain - Arts & History",,-37.8054567702426,144.971368327059
"Public Memorials & Sculptures","Man with the Donkey","Sculpture - Arts & History",,-37.8294820320636,144.973858485945
"Public Memorials & Sculptures","Conservatory Fountain","Memorial Drinking Fountain - Arts & History",,-37.8138743287314,144.978595508763
"Public Memorials & Sculptures","Island Wave","Sculpture - Arts & History",,-37.8093264245689,144.958057227641
"Public Memorials & Sculptures","Hotham Hill Pavement Inlay","Pavement Inlay - Arts & History",,-37.7949047877064,144.940383505871
"Public Memorials & Sculptures","French Fountain","Fountain - Arts & History",,-37.8049009334589,144.972849862515
"Public Memorials & Sculptures","Ecophene","Sculpture - Arts & History",,-37.8198056338124,144.963285369515
"Public Memorials & Sculptures","The Echo","Sculpture - Arts & History",,-37.8127056758346,144.965153949957
"Public Memorials & Sculptures","John Batman Memorial","Cairn - Arts & History",,-37.8081355068188,144.957645917366
"Public Memorials & Sculptures","Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle","Sculpture - Arts & History",,-37.81368540194,144.965574495439
"Public Memorials & Sculptures","Koorie Mural","Mural - Arts & History",,-37.8069939381431,144.963053961495
"Public Memorials & Sculptures","Walker Fountain","Fountain - Arts & History",,-37.8235489421227,144.970827554425
"Public Memorials & Sculptures","Mary Gilbert Memorial","Bust - Arts & History",,-37.8140756775122,144.978560254824
"Public Memorials & Sculptures","Westgarth Drinking Fountain","Memorial Drinking Fountain - Arts & History",,-37.8050912969792,144.973417331594
"Public Memorials & Sculptures","Australian Hellenic Memorial","Memorial - Arts & History",,-37.8272124256682,144.972973931049
"Public Memorials & Sculptures","Electric Supply Box D","Sculpture - Arts & History",,-37.8135248905976,144.965912867161
"Public Memorials & Sculptures","Apollo Belvedere","Sculpture - Arts & History",,-37.8210593800945,144.969757416659
"Public Memorials & Sculptures","Burke and Wills Monument","Sculpture - Arts & History",,-37.8156336994425,144.96670400597
"Public Memorials & Sculptures","Lynch's Bridge Mosaic Mural","Mural - Arts & History",,-37.7902053433568,144.923939187972
"Public Memorials & Sculptures","Nurse Edith Cavell Memorial","Sculpture - Arts & History",,-37.827987844927,144.973699167888
